,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_RedEye,Red Eye Reduction,Rouge-oeil réduction,Rotauge verkleinerung,Rojo-ojo reducción,Rosso-occhio riduzione,Red Eye Reduction,軽减紅眼,赤目軽減,防紅眼,"Фильтр ""красных глаз"""
STRID_Av,Av,Av,Blendenwert,Va,Av,Av,Av,Av,Av,AV
STRID_Tv,Tv,Tv,Zeitwert,Vt,Tv,Tv,Tv,Tv,Tv,TV
STRID_AvTv,Av / Tv,Av / Tv,Bl.-/Zeitwert,Va/Vt,Av / Tv,Av / Tv,Av / Tv,Av / Tv,Av / Tv,AV / TV
STRID_AvSetting,Av Setting:,Réglage Av:,Blenden-Einst.:,Ajuste Va:,Impostazione Av:,Av Setting:,Av 设置:,のAVセット,Av 設定:,AV настройки
STRID_TvSetting,Tv Setting:,Réglage Tv:,Zeitwert-Einst.:,Ajuste Vt:,Impostazione Tv:,Tv Setting:,Tv 设置:,のTVセット,Tv 設定:,установка Tv
STRID_AvTvSetting,Av/Tv Setting:,Réglage Av/Tv:,Bl./Zeit-Einst.:,Ajuste Va/Vt:,Impost. Av/TV:,Av/Tv Setting:,Av/Tv 设置:,のAV/TVセット,Av/Tv 設定:,AV / TV настройки
STRID_SceneSetting,Scene Mode,Paysage,Landschaft,Paisaje,Paesaggio,Scenery,场景,シーン,場景模式,Режим съемки
STRID_Scene,Scene,Paysage,Landschaft,Paisaje,Paesaggio,Scenery,场景,シーン,場景模式,Режим
STRID_Landscape,Landscape,Paysage,Landschaft,Paisaje,Paesaggio,Scenery,风景,景色,風景,Пейзаж
STRID_NightScene,Night Scene,Scène de nuit,Nachtszene,Escena de la noche,Scena di notte,Night Scene,夜景,夜景,夜景,Ночь
STRID_Sports,Sports,Sports,Sport,Deportes,Sport,Sports,运动,スポーツ,運動,Спорт
STRID_Portrait,Portrait,Portrait,Porträt,Retrato,Ritratti,Portrait,人物,人物,人物,портрет
STRID_Flower,Flower,Fleur,Blume,Flor,Fiore,Flower,花,花,花,Цветочная
STRID_Smart,Smart Mode,Mode intelligent,Smart-Modus,Modo inteligente,Modalità intelligente,Modo Smart,智能模式,スマートモード,智能模式,Авто режим
STRID_Backlight,Backlight,Backlight,Backlight,Backlight,Backlight,Backlight,背光,逆光,背光,Подсветка
STRID_Color,Color,Color,Farbe,Color,Colore,Color,色彩,カラー,色彩效果,Цветной
STRID_Color_Full,Normal,Normal,Normal,Normal,Normale,Normal,正常,ノーマル,彩色,Стандарт
STRID_Color_BW,Black & White,N/B,S/W,B/N,Bianco/nero,Black & White,黑白,白黑,黑白,Черно белый
STRID_Color_Sepia,Sepia,Sépia,Sepia,Sepia,Sepia,Sepia,棕褐色,セピア,復古,Коричневый
STRID_SHARPNESS,Sharpness,Nettete,Schärfe,Definición,Nitidezza,Acuidade,锐度,シャープネス,銳利度,Резкий
STRID_STRONG,Strong,Forte,Stark,Alta,Forte,Forte,强烈,ストロング,强烈,Сильный
STRID_SOFT,Soft,Douce,Weich,Baja,Leggera,Suave,柔和,ソフト,柔和,Мягкий
STRID_Low,Low,Faible,Gering,Baja,Bassa,Low,低,低い,低,Низкий
STRID_Med,Medium,Moyen,Mittel,Media,Media,Medium,中,ミディアム,中,Средний
STRID_High,High,Supérieur,Hoch,Alta,Alta,High,高,高い,高,Высокий
STRID_DATE_STAMP,Date Stamp,Marque Date,Datumsanzeige,Impresión Fecha,Stampa Data,Impressão data,日期标签,日付ラベル,日期記錄,Штамп дата/время
STRID_DATE_TIME,Date/Time,Date/Heure,Datum/Uhrzeit,Fecha/Hora,Data/Ora,Data/Hora,日期/时间,日/時刻,日期/時間,Дата / время
STRID_DATE,Date,Date,Datum,Fecha,Data,Data,日期,日付 ,日期,Дата
STRID_TIME,Time,Reglage Heure,Zeit Einstellen,Configurar Hora,Imp.ora,Acert hora,时间设置,時間設定,時間,Время
STRID_y_m_d,y/m/d,a/m/j,j/m/t,a/m/d,a/m/g,y/m/d,y/m/d,y/m/d,y/m/d,ГГ/ММ/ДД
STRID_d_m_y,d/m/y,j/m/a,t/m/j,d/m/a,g/m/a,d/m/y,d/m/y,d/m/y,d/m/y,ДД/ММ/ГГ
STRID_m_d_y,m/d/y,m/j/a,m/t/j,m/d/a,m/g/a,m/d/y,m/d/y,m/d/y,m/d/y,ММ/ДД/ГГ
STRID_ON,On,Active,An,Encendido,On,On,开启,オン,開啟,Вкл.
STRID_OFF,Off,Desactive,Aus,Apagado,OFF,Off,关闭,オフ,關閉,Выкл.
STRID_DZ,Digital Zoom,Zoom Numér.,Digitalzoom,Zoom Digital,Zoom Digitale,Digital Zoom,数码变焦,デジタルズーム,數位變焦,Цифровой зум
STRID_QUICK_VIEW,Quick Review,Bilan Rapide,Schnelldurchlauf,Revisión Rápida,Visualizz. Rapida,Revisão rápida,快速预览,クイックレビュー,快速檢視,Быстрый просмотр
STRID_Saturation,Saturation,Saturation,Sättigung,Saturación,Saturazione,Saturation,饱和度,彩度,彩度,Контрастность
STRID_Movie,Video,Vidéo,Video,Vídeo,Filmati,Video,视频,ビデオ,視訊,Видео
STRID_FrameRate,Frame Rate,Taux d'armature,Rahmenrate,Tarifa del macro,Tasso della struttura,Frame Rate,帧频,フレームレート,格數,Частота съемки 
STRID_30fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 fps,30 к/сек
STRID_15fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 fps,15 к/сек
STRID_10fps,10 fps,10 fps,10 fps,10 fps,10 fps,10 fps,10 fps,10 fps,10 fps,10  к/сек
STRID_1fps,1 fps,1 fps,1 fps,1 fps,1 fps,1 fps,1 fps,1 fps,1 fps,1  к/сек
STRID_Video,Video,Vidéo,Video,Vídeo,Filmati,Video,视频,ビデオ,視訊,Видео
STRID_Audio,Audio,Audio,Audio,Sonido,Audio,Audio,录音,オーデイオ,錄音,Аудио
STRID_SETUP,Setup,Reglages,Einstellungen,Configuración,Impostazioni,Configuração,设置,設定,設定,Настройки
STRID_Frequency,Frequency,Fréquence,Frequenz,Frecuencia,Frequenza,Frequency,光源频率,周波数,光源頻率,Частота освещения
STRID_50Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz,50 Hz
STRID_60Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz,60 Hz
STRID_Media,Media Select,Médias choisis,Mittel auserwählt,Medios selectos,Mezzi prescelti,Media Select,介质选择,媒質の選択,儲存裝置,Выбор памяти
STRID_STORAGE,Storage Media,Stockage Media,Speichermedium,Medio de almacenamiento,Salvataggio,Memória,存储媒体,記憶媒体,儲存裝置,Выбор места хранения
STRID_INT_FLASH,Internal Memory,Memoire Interne,Interner Speicher,Memoria Interna,Memoria Interna,Mem Interna,内存,内部メモリー ,內建記憶體,Внутренняя память
STRID_EXT_CARD,TF Card,Carte TF,TF Karte,Tarjeta TF,Scheda TF,TF Card,存储卡,TFカード,TF卡,TF карта
STRID_LOGO_DISPLAY,Logo Display,Affichage de logo,Firmenzeichenanzeige,Exhibición de la insignia,Esposizione di marchio,Logo Display,开机画面,開始の画面,開機畫面,Показывать заставку
STRID_OPENING,Opening,Ouverture,Öffnen,Apertura,Apertura,Abertura,开机画面,開始の画面,開機畫面,Открыть 
STRID_FORMAT,Format,Format,Format,Formato,Formattazione,Formatar,格式化TF卡,フォーマット,格式化記憶卡,Формат
STRID_OK,OK,OK,OK,OK,OK,OK,确认,OK,確認,ОК
STRID_CANCEL,Cancel,Annuler,Abbrechen,Cancelar,Annulla,Cancelar,取消,キャンセル,取消,Отмена
STRID_BEEPER,Beep Sound,Bip Sonore,Akustisches Signal,Sonido Bip,Segnale acust.,Som de beep,按键音,ボタン音,按鍵音,Звук клавиш
STRID_Beep_Loud,Louder,+Fort,Lauter,Alto,Forte,Louder,大,大きい声,高音量,Громко
STRID_Beep_Soft,Soft,Faible,Soft,Suave,Piano,Soft,小,小さい声 ,柔和,Тихо
STRID_LANGUAGE,Language,Langues,Sprache,Idioma,Lingua,Idioma,系统语言,言語,系统語系,Язык
STRID_LANG_EN,English,English,English,English,English,English,English,English,English,English
STRID_LANG_FR,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français
STRID_LANG_ES,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español
STRID_LANG_DE,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch
STRID_LANG_IT,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano
STRID_LANG_TC,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文,繁體中文
STRID_LANG_SC,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文,简体中文
STRID_LANG_JP,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語,日本語
STRID_LANG_PO,Português,Português,Português,Português,Português,Português,Português,Português,Português,Português
STRID_LANG_RU,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский,Русский
STRID_USB,USB,USB,USB,USB,USB,USB,USB,USB,USB,USB
STRID_PC_MODE,PC Mode,Mode de PC,Modo de la PC,Modo de la PC,Modo del PC,PC Mode,PC模式,PCモード,PC模式,Режим РС
STRID_MSDC,Mass Storage,Mémoire de masse,Massenspeicher,Memoria de masa,Memoria di massa,Mass Storage,存储器,ディスク,磁碟機,Флэш-память
STRID_PCC,PC Camera,Caméra PC,PC-Kamera,Cámara PC,PC Camera,PC Camera,摄像头,PCカメラ,網路攝影機,PC камера
STRID_PICTBRIDGE,Pictbridge,Pictbridge,Pictbridge,Traspasar Fotos,Pictbridge,Pictbridge,PICTBRIDGE,ピクトブリッジ,PictBridge,Pictbridge
STRID_USBCHARGE,Power Charging,Power Charging,Power Charging,Power Charging,Power Charging,Power Charging,供电模式,充電,供電模式,Поручать силы 
STRID_TV_MODE,TV Mode,Mode de TV,TV-Modus,Modo de la TV,Modo della TV,TV Mode,视频输出格式,TVモード,影像輸出格式,режим TV
STRID_TV_NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC,NTSC
STRID_TV_PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL,PAL
STRID_BRIGHTNESS,LCD Brightness,LCD Brightness,LCD Helligkeit,Luminosidad LCD,Luminosità LCD,Brilho LCD,LCD亮度调节,LCD輝度調節,LCD亮度,Яркость
STRID_AUTO_OFF,Auto Power Off,Arret Auto,Auto Aus,Desconexión Automática,Spegnim. aut.,Auto power off,自动关机,オートパワーOFF,自動關機,Авто выключение
STRID_AUTO_OFF_1MIN,1 Minute,1 Min,1 Min,1 Min,1 Min,1 Min,1 分钟,1 分,1 分鐘,1 мин.
STRID_AUTO_OFF_2MIN,2 Minutes,2 Mins,2 Min,2 Min,2 Min,2 Min,2 分钟,2 分,2 分鐘,2 мин.
STRID_AUTO_OFF_3MIN,3 Minutes,3 Mins,3 Min,3 Min,3 Min,3 Min,3 分钟,3 分,3 分鐘,3 мин.
STRID_AUTO_OFF_5MIN,5 Minutes,5 Mins,5 Min,5 Min,5 Min,5 Min,5 分钟,5 分,5 分鐘,5 мин.
STRID_AUTO_OFF_10MIN,10 Minutes,10 Mins,10 Min,10 Min,10 Min,10 Min,10 分钟,10分,10 分鐘,10 мин.
STRID_1MIN,1 Minute,1 Min,1 Min,1 Min,1 Min,1 Min,1 分钟,1 分,1 分鐘,1 мин.
STRID_2MIN,2 Minutes,2 Mins,2 Min,2 Min,2 Min,2 Min,2 分钟,2 分,2 分鐘,2 мин.
STRID_3MIN,3 Minutes,3 Mins,3 Min,3 Min,3 Min,3 Min,3 分钟,3 分,3 分鐘,3 мин.
STRID_5MIN,5 Minutes,5 Mins,5 Min,5 Min,5 Min,5 Min,5 分钟,5 分,5 分鐘,5 мин.
STRID_10MIN,10 Minutes,10 Mins,10 Min,10 Min,10 Min,10 Min,10 分钟,10 分,10 分鐘,10 мин.
STRID_15MIN,15 Minutes,15 Mins,15 Min,15 Min,15 Min,15 Min,15 分钟,15 分,15 分鐘,15 мин.
STRID_20MIN,20 Minutes,20 Mins,20 Min,20 Min,20 Min,20 Min,20 分钟,20 分,20 分鐘,20 мин.
STRID_25MIN,25 Minutes,25 Mins,25 Min,25 Min,25 Min,25 Min,25 分钟,25 分,25 分鐘,25 мин.
STRID_30MIN,30 Minutes,30 Mins,30 Min,30 Min,30 Min,30 Min,30 分钟,30 分,30 分鐘,30 мин.
STRID_CYCLIC_REC,Loop recording, Enregistrement continu,Loop-Aufnahme , Grabación continua,Loop di registrazione , Gravação contínua,视频时长,記録時間,循環錄影,Цикл записи (мин)
STRID_FLASH_REC,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,Flash Record,フラッシュレコード,預錄,Flash Record
STRID_GOLF_REC,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,Golf Shot,ゴルフショット,高速錄影,Golf Shot
STRID_NONE,None,Keine,Aucun,Ningunos,Nessun,None,无,なし,無,Нет
STRID_RESET_NUM,Reset Number,Réini.Nb,Nr. Rücks.,Rest. Núm.,Azz.Numero,Reset Number,数字归零,デジタルリセット　,重設數字,Сбросить номер
STRID_DEFAULT_SETTING,Default Setting,Regl. Defaut,Standard Einstell,Configuración por defecto,Impost.predef.,Conf por def,出厂设置,デフォルト設定,出廠設置,Перезагрузить
STRID_YES,Yes,Oui,Ja,Sí,Sì,Yes,是,はい,是,Да
STRID_NO,No,Non,Ein,No,No,No,否,いいえ,否,Нет
STRID_VERSION,Version,Version,Version,Versión,Versione,Version,版本信息,バージョン,版本,Версия ПО
STRID_PLAYBACK,Playback,de lecture,Wiedergabe,playback,Riproduzione,reprodução,回放,再生モード,播放,Воспроизведение
STRID_THUMBNAIL,Thumbnail,Ongle du pouce,Thumbnail,Thumbnail,Thumbnail,Thumbnail,缩略图,サムネイル,縮圖,Ракурс 
STRID_SET_LOGO,Set Logo,Placez le logo,Foto ein,Fije la insignia,Regoli il marchio,Set Logo,设置开机画面,開始の画面を設置する,自定開機畫面,Установка  логотипа
STRID_ROTATE,Rotate,Tournez,Drehen Sie sich,Rote,Ruoti,Rotate,旋转,回転,旋轉,Повернуть
STRID_ROTATE_S,Rotate,Tourne,Drehen,Rote,Ruoti,Rotate,旋转,回転,旋轉,Повернуть
STRID_ROTATE_90,Rotate 90°,Tourne 90°,Drehen 90°,Rote 90°,Ruoti 90°,Rotate 90°,旋转 90°,90度回転,旋轉 90°,Повернуть 90°
STRID_ROTATE_180,Rotate 180°,Tourne 180°,Drehen 180°,Rote 180°,Ruoti 180°,Rotate 180°,旋转 180°,180度回転,旋轉 180°,Повернуть 180°
STRID_ROTATE_270,Rotate 270°,Tourne 270°,Drehen 270°,Rote 270°,Ruoti 270°,Rotate 270°,旋转 270°,270度回転,旋轉 270°,Повернуть 270°
STRID_CROP,Crop,Récolte,Getreide,Cosecha,il raccolto,Crop,修剪,カット,裁切,Обрезать
STRID_CROP_S,Crop,Emblav,Saatbe,Cultiv,Coltiva,Crop,修剪,カット,裁切,Обрезать
STRID_SLIDE_SHOW,Slide Show,Diaporama,Diashow,Ver Diapositivas,Mostra Diapositive,Slide show,幻灯片播放,スライドショー,幻燈片,Слайд-шоу
STRID_2SEC,2 Seconds,2 Secondes,2 Sek,2 Segundos,2 Secondi,2 Segundos,2 秒,2 秒,2 秒,2 сек.
STRID_3SEC,3 Seconds,3 Secondes,3 Sek,3 Segundos,3 Secondi,3 Segundos,3 秒,3 秒,3 秒,3 сек.
STRID_5SEC,5 Seconds,5 Secondes,5 Sek,5 Segundos,5 Secondi,5 Segundos,5 秒,5 秒,5 秒,5 сек.
STRID_8SEC,8 Seconds,8 Secondes,8 Sek,8 Segundos,8 Secondi,8 Segundos,8 秒,8 秒,8 秒,8 сек.
STRID_10SEC,10 Seconds,10 Secondes,10 Sek,10 Segundos,10 Secondi,10 Segundos,10 秒,10 秒,10 秒,10 сек.
STRID_PROTECT,Protect,Protection,Schutz,Proteger,Protezione,Proteger,保护,保護する,保護,Защита
STRID_ProtectOne,Protect One,Protéger Une,Eins Schütz.,Proteger Una,Proteggi Una,Protect One,保护单张,一枚を保護する,保護單張,Защитить одну
STRID_ProtectAll,Protect All,Protége Ttes,Alle Schütz.,Prot. Todas,Prot. Tutte,Protect All,保护全部,全を保護する,保護所有檔案,Защитить все
STRID_Lock,Lock,Vérouillé,Verriegelung,Bloquear,Blocca,Lock,加锁,ロック,保護,Блокировка
STRID_LockOne,Lock Current,Verouillez le courant,Eins Schütz.,Trabe el actual,Blocchi la corrente,Lock Current,加锁当前,当面をロックする,保護目前檔案,Заблокировать  фотографию
STRID_LockAll,Lock All,Verouiller Tout,Alle Schütz.,Blog. Todo,Blocca tutto,Lock All,全部加锁,全をロックする,保護所有檔案,Заблок.все изображ
STRID_LockSelected,Lock Selected,Serrure Choisie,Wählte Schütz.,Blog. Seleccionado,Blocca selez.,Lock Selected,锁定选择,ロックを選択する,保護選擇檔案,Заблокировать  
STRID_Unlock,Unlock,Déverrouil,Öffnen,Desbloq.,Sblocca,Unlock,解锁,ロックを解除する,未鎖定,Разблокировка
STRID_UnlockOne,Unlock Current,Ouverz le courant,Eins Öffnen,Abra el actual,Sblocchi la corrente,Unlock Current,解锁当前,当面のロックを解除する,解除保護目前檔案,Разблокировать фотографию 
STRID_UnlockAll,Unlock All,Déverrouiller Tout,Alle Öffnen,Desblog. Todo,Sblocca tutto,Unlock All,全部解锁,全のロックを解除する,解除保護所有檔案,Разблок. все изображ
STRID_UnlockSelected,Unlock Selected,Ouvrez Choisi,Wählte Öffnen,Abra Seleccionado,Sblocca selez.,Unlock Selected,解锁选择,ロックの解除を選択する,解除保護選擇檔案,Разблокировать выбранный
STRID_DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF,DPOF
STRID_OneImage,One  Image,Une Image,Ein Bild,Una Imagen,Una Immag.,One  Image,单张照片,一枚の画像,單張相片,Одно изображение
STRID_ALL_IMAGES,All Images,Toutes Images,Alle Bilder,Todas las imágenes,Tutte le imm.,Todas imagens,全部,全ての画像,所有相片,Все изображения
STRID_THIS_IMAGE,This Image,Cette Image,Dieses Bild,Esta Imagen,Questa immagine,Esta imagem,单张,一枚の画像,目前影像,Данное изображение
STRID_THIS_VIDEO,This Video,Cette Image,Dieses Video,Esta Imagen,Immagine Corr.,Esta Imagem,此档案,このビデオ,目前影片,Данное видео
STRID_SELECT_IMAGES,Select Images,Select. Images,Bilder auswählen,Seleccionar Imagen,Seleziona immagini,Selec imagens,选择图片,画像を選択する,選擇圖片,Выбрать изображение
STRID_ALL_INDEX,All Index,Tout Index,Alle Index,Todo el índice,Tutta la selezione,Todo índice,索引,インデックス,索引,Все индексы
STRID_ALL,All,Toutes,Alle,Todas,Tutte,Todas,全部,全て,全部,Все
STRID_ResetAll,Reset All,Annuler Tout,Zurücksetzen,Formate. Todo,Ripristina Tutte,Reset All,全部复位,すべてをリセットする,重新設定,Переустановить все
STRID_Copies,Quantity,Quantité,Anzahl,Cantidad,Quantità,Quantity,数量,数量,數量,Количество
STRID_Return,Return,Retour,Zurück,Volver,Ritorna,Return,返回,戻る,返回,Вернуться
STRID_Resize,Resize,Rogner,Größe ändern,Cambio Dimens.,Ridimensiona,Resize,调整尺寸,サイズを調整する,調整尺寸 ,Изменение размера
STRID_QualityChange,Quality Change,Redimensionner,Qualität änd.,Cambio Calidad,Cambia Qualità,Quality Change,更改画质,画質を変更する,更改畫質,Изменение качества
STRID_COPY_TO_CARD,Copy To Card,Copie Sur Carte,Auf Karte kopieren,Copia a tarjeta,Copia sulla scheda,Ópia p/ cartão,复制到卡,カードにコピーする,複製到TF卡,Копировать на карту
STRID_COPY_FROM_CARD,Copy From Card,Copie De Carte,Von Karte kopieren,Copia de tarjeta,Copia dalla scheda,Cópia do cartão,从卡复制,カードからコピーする,從記憶卡複製,Копировать с карты
STRID_Copy,Copy,Copy,Copy,Copy,Copy,Copy,拷贝,コピー,複製,Копировать
STRID_ToSD,To TF,ÁL'Écart-type,Zu TF,Al TF,Ad TF,To TF,存储卡,TFに,TF卡,На TF карту памяти
STRID_ToInternal,To Internal,Á Interne,Zu Internem,A Interno,Ad Interno,To Internal,內存,メモリーに,內建記憶體,На внутреннюю память
STRID_Delete,Delete,Effacer,Löschen,Borrar,Elimina,Delete,文件刪除,削除,文件删除,Удалить
STRID_DeleteCurrent,Delete Current,Supprime le courant,Löschungen z.Z.,Suprime el actual,Cancella la corrente,Delete Current,文件是否删除,当面を削除する,檔案是否删除,Удалить зту фотографию
STRID_DeleteAll,Delete All,Effacer tont,Alle löschen,Borrar todo,Elimina tutto,Delete All,全部刪除,全てを削除する,全部檔案,Удалить все
STRID_DeleteSelected,Delete Selected,Effacement choisi,Löschen auserwählt,Borrar selecta,Elimina prescelta,Delete Selected,刪除选择,選択を削除する,删除選擇檔案,Удалить  выбранное
STRID_DataProcessed,Data Processed,Les données traitées,Verarbeitete Daten,Los datos ya procesados,Dati trattati,Dados Transformados,资料处理,資料を処理する,資料處理,Обработка данных
STRID_Select,Select,Sélect.,Wählen,Selecc.,Selez.,Select,选择,選択する,選擇,Выберите
STRID_PAGE,Page,Page,Seite,Página,Pagina,Pág,页数,ページ,頁數,Страница
STRID_PrintModeSel,Printing Mode Select ,Sélection mode impression,Druckmodus,Selecc. modo impr.,Sel. modo stampa,Printing Mode Select ,打印模式选择,印刷モードを選択する,列印模式選擇,Выбрать режим печати
STRID_SIZE,Size,Taille,Grösse,Tamaño,Dimensioni,Tamanho,尺寸大小,サイズ,尺寸,Размер  
STRID_Standard,Standard,Standard,Standard,Estándar,Standard,Standard,标准,標準,標準,Стандарт
STRID_CONTINUE,Continue,Suite,Weiter,Continuar,Continuare,Continuar,继续,続き,繼續,Продолжить
STRID_Without,Without,Sans,Ohne ,Sin,Senza,Without,不包括,なし,不包含,Без 
STRID_With,With,Avec,Mit,Con,Con,With,包括,含む,包含,С
STRID_NAME,File Name,Nom Fichier,Dateiname,Nombre de archivo,Nome File,Nome de ficheiro,文件名称,ファイル名,檔名,Наименование файла
STRID_NO_IMAGE,No Image,Aucune Image ,Kein Bild,Ninguna Imagen,Nessun'Immagine,Nenhuma Imagem,没有照片,イメージなし,無相片,Нет изображения
STRID_Set,Set,Définir,Einst.,Definir,Impo.,Set,设置,セットする,設定,Настройки
STRID_MEMORY_FULL,Internal Memory Full,Mémoire Interne Complètement,Inner Speicher Voll,Memoria Interna Completo,Memoria Interna completo,Memória Interna Completamente,内存已满,メモリーがいっぱい,記憶體已滿,Внутренняя память полная
STRID_CARD_FULL,Card Full,Carte Complètement,Karte Voll,Tarjeta Completo,Carta completo,Cartão Completamente,卡已满，请格式化,カードがいっぱいで、\nフォーマットしてください。,"記憶卡已滿, 請格式化",Карта памяти заполнена
STRID_FolderFull,Folder full,Dossier plein,Ordner voll,Carpeta llena,Cartella piena,Folder full,文件夹满,フォルダがいっぱい,資料夾已滿,Папка заполнена
STRID_CardError,Card error,Erreur carte,Kartenfehler,Error de tarjeta,Errore scheda,Card error,存储卡错误,カードエラー,TF卡錯誤,Ошибка карты
STRID_MemoryError,Memory error,Erreur memoire,Speicherfehler,Error de memoria,Errore memoria,Memory error,内存错误,メモリーエラー,記憶體錯誤,Ошибка памяти
STRID_LensError,Lens error,Erreur objectif,Objektivfehler,Error en el objetivo,Errore dell'obiettivo,Lens error,镜头错误,レンズエラー,鏡頭錯誤,Ошибка объектива
STRID_CARD_LOCKED,Card Protected,Carte Protégée,Karte Hat Geschützt,Tarjeta Protegió,Carta Protetto,Cartão Protegeu,卡已写保护,カードは保護された,TF卡防寫,Карта памяти защищена
STRID_FILE_PROTECT,Protected!,Protégé !,Geschützt!,Protegido!,Protetto!,Protegido!,已保护!,保護された,檔案保護,Защищено!
STRID_PictureError,Picture error,Erreur d'image,Bildfehler,Error de imagen,Errore foto,Picture error,影像错误,ファイルエラー,影像錯誤,Ошибка изображения
STRID_BATTERY_LOW,Low Battery,Pile basse,Niedrige Batterie,Batería Baja,Batteria bassa,Bateria baixa,电量不足,電源不足   ,電量不足 ,Батарея разряжена
STRID_OneMoment,One moment,Un moment,Bitte warten,Un momento,Un momento,One moment,请稍等,お待ちください,請稍等,Подождите …
STRID_NoConnection,No connection,Non connecté,Keine verbindung,Sin conexión,Non connesso,No connection,未连接,無接続,未連接,Нет соединения
STRID_Transferring,Transferring,Transfert,Übertragung,Transfiriendo,Trasferim.,Transferring,正在传输,送信される,正在傳送,Идет передача …
STRID_ConnectedToPC,Connected to PC,Connecté au PC,Anschluss am PC,Conexión al PC,Connessione al PC,Connected to PC,连接到计算机,コンピュータに接続する,與PC連接中,Соединение с ПК
STRID_RemoveUSBCable,Remove USB cable,Retirer câble USB,USB-Kab. entf.,Quitar cable USB,Rimuovere cavo USB,Remove USB cable,断开USB,USBケーブルを取り外す,移除USB線,Извлечь USB кабель
STRID_Total,Total,Total,Gesamt,Total,Totale,Total,总计,合計,總計,Всего
STRID_DATE_STAMPING,Date Stamping,Marque Date,Datumsanzeige,Impresión fecha,Stampa Data,Impressão data,日期标签,日付ラベル,日期記錄,Штамп даты
STRID_FILE_NAME,File Name,Nom Fichier,Dateiname,Nombre de archivo,Nome File,Nome de ficheiro,文件名称,ファイル名,檔名,Имя файла
STRID_NO_OF_COPY,No.Of Copy,No. De Copies,Anzahl der Kopien,No. de copia,N. di copie,Nº. de cópia,打印数量,プリント枚数,列印數量,Количество копий
STRID_DEFAULT,Default,Défaut,Rückstellung,Predeterminado,Predefinite,Default,恢复出厂设置,初期を設定する,恢復出廠設置,По умолчанию
STRID_Menu,Menu,Menu,Menü,Menú,Menu,Menu,菜单,メニュー,選單,Меню
STRID_EXIT,Exit,Quitter,Zurück,Salir,Esci,Sair,退出,終了,結束,Выход
STRID_PLEASE_WAIT,Please wait,Patientez,Bitte Warten,Por favor espere,Attendere,Aguarde,请稍候,お待ちください,請稍待,"Пожалуйста, подождите"
STRID_StartShutter,Start: Shutter,Début: Shutter,Anfang: Shutter,Comienzo: Shutter,Inizio: Shutter,Start: Shutter,开始: 快门,開始: シャッター,開始: 快門,Начать: затвор 
STRID_StopShutter,Stop: Shutter,Arrét: Shutter,Anschlag: Shutter,Parada: Shutter,Arresto: Shutter,Stop: Shutter,停止: 快门,停止: シャッター,停止: 快門,Остановить : затвор
STRID_NO_FILE,No File,Pas de fichier,Keine Datei,Sin archivo,Assenza file,No File,没有文件,ファイルがありません,沒有檔案,Нет файла
STRID_NO_CARD,No Card,Aucune Carte,Keine Karte,Ninguna Tarjeta,Nessuna Carta,Nenhum Cartão,未插入卡,カードなし,沒有TF卡,Нет карты
STRID_NO_PHOTO,No Photo,Aucune image,Kein Bild im Speicher,Sin imagen,Nessuna immagine ,No Photo,无相片,画像がありません,無相片,Нет фото
STRID_NOT_JPEG,Not JPEG File,Aucun fichier JPEG,Keine JPEG-Datei,No hay archivo JPEG,Non è un file JPEG,Not JPEG File,不是JPEG文件,JPEGファイルがない,不是JPEG檔,Файл не JPEG формата
STRID_FlashNotReady,Flash not ready,Flash not ready,Flash not ready,Flash not ready,Flash not ready,Flash not ready,闪光灯充电中,フラッシュが準備できない,閃光燈充電中,Вспышка не готова 
STRID_UpdateBG,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,Update Graph,グラフの更新,Update Graph,Обновление граф.
STRID_CheckVersion,Check Version,Check Version,Check Version,Check Version,Check Version,Check Version,Check Version,チェックバージョン,Check Version,Проверить версию
