,EN,FR,DE,ES,IT,PO,SC,JP,TC,RU
STRID_2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80,2560X1440P80
STRID_2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60,2704X2032P60
STRID_4HOUR,4HOUR,4HOUR,4HOUR,4HOUR,4HOUR,4HOUR,4HOUR,4HOUR,4HOUR,4HOUR
STRID_6HOUR,6HOUR,6HOUR,6HOUR,6HOUR,6HOUR,6HOUR,6HOUR,6HOUR,6HOUR,6HOUR
STRID_8HOUR,8HOUR,8HOUR,8HOUR,8HOUR,8HOUR,8HOUR,8HOUR,8HOUR,8HOUR,8HOUR
STRID_COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO,COLOR_MONO
STRID_CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE,CUSTOMIZE
STRID_DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60,DUAL_1080P60_1080P60
STRID_DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30,DUAL_3840x2160P30_1920x1080P30
STRID_FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60,FRONT_2304X1296P60
STRID_FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30,FRONT_2560X1080P30
STRID_FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60,FRONT_2560X1080P60
STRID_FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30,FRONT_2560X1600P30
STRID_FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30,FRONT_2592X1944P30
STRID_GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230,GMT_N230
STRID_GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630,GMT_P630
STRID_IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR,IR_CAMERA_COLOR
STRID_IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR,IR_COLOR
STRID_LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ,LANG_AZ
STRID_LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ,LANG_CZ
STRID_LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL,LANG_NL
STRID_LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO,LANG_NO
STRID_LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO,LANG_RO
STRID_LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK,LANG_SK
STRID_LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR,LANG_TR
STRID_LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM,LIVESTREAM
STRID_MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP,MODEL_STAMP
STRID_MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE,MOVIE_BITRATE
STRID_PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL,PERIPHERAL
STRID_PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS,PM_15FPS
STRID_QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30,QUAD_1920x1080P30
STRID_RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT,RSC_EFFECT
STRID_SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH,SUPER_HIGH
STRID_TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT,TPMS_PRSR_UNIT
STRID_TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT,TPMS_TEMP_UNIT
STRID_TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30,TRI_1920x1080P30
STRID_TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30,TRI_2560x1440P30_1920x1080P30_1920x1080P30
